,x,y,z,labels
0,-12.825494,-3.6423566,0.4917592,2
1,-15.340294,-6.9778166,5.6878815,2
2,1.5255984,-2.72208,9.640496,0
3,-10.018971,1.2799094,-4.733306,5
4,-8.302427,6.167543,-7.73797,7
5,-9.500669,-4.2450385,2.4615867,2
6,-11.479428,0.44404054,2.3322415,2
7,-5.908092,-3.3059218,8.826289,2
8,-0.60054517,-4.4896913,7.0409737,0
9,-8.964007,4.1881866,-5.231129,2
10,-7.8519397,2.2531612,-1.065626,7
11,-13.019257,-5.9322696,5.915872,2
12,-8.428509,4.307345,-4.6882176,2
13,-1.5553865,-9.22863,-7.7289705,5
14,-11.910778,-3.6052923,5.853433,2
15,-10.276093,-2.9964013,5.6711507,2
16,-5.5221686,3.7604349,-2.0262609,7
17,3.213554,-10.992,-3.3734803,5
18,11.538284,-0.7071908,-9.040891,8
19,-16.70698,-5.7295346,3.5294724,2
20,-15.5110855,-7.05772,5.3776813,2
21,-1.4390705,-3.3173532,9.086476,0
22,-15.2957115,-5.235331,4.8149924,2
23,-5.0007563,-0.39193982,-5.8848815,5
24,-8.156142,-1.5972471,4.306714,2
25,-11.960993,-3.678087,0.9337647,2
26,-9.285109,-6.944045,2.6069045,5
27,-7.6689844,-2.3100991,-4.4812865,5
28,-7.9356637,7.157526,-4.535573,7
29,-6.979181,3.222447,-4.195643,5
30,-11.593777,1.2258164,-5.6410236,5
31,-4.1942086,-0.91351104,-4.7509613,5
32,-10.764474,-3.880702,3.0016787,2
33,-6.82148,4.2306266,-3.74247,5
34,-8.2424755,-3.6377683,0.5167998,2
35,-12.705131,-5.1498165,3.5277941,2
36,-11.38219,-1.1713238,-4.162588,5
37,-13.44719,-4.217854,5.1467066,2
38,10.873349,-5.811815,-6.387247,8
39,-15.597654,-7.3725724,5.6551695,2
40,-8.43658,5.2214336,-5.3983283,7
41,-14.474188,-3.118773,0.4903232,2
42,-8.174041,-2.067081,-5.7628036,5
43,-15.068873,-3.849541,2.3419187,2
44,-1.5688878,-10.936249,-7.843331,5
45,-8.31742,0.17934118,-5.236162,5
46,-7.8350563,-4.49195,2.6900432,2
47,-9.83231,4.721826,-2.8049028,2
48,-6.8368187,4.4834743,-3.4466493,7
49,-12.560985,-3.7435315,0.0038523711,5
50,-4.9876084,-0.10927608,-6.3092318,5
51,-13.476737,-4.7329783,5.4701676,2
52,-5.593877,2.8773983,-2.2970707,5
53,-7.4317408,3.4463458,-5.846158,5
54,-5.154621,3.6166885,8.8056755,2
55,-14.59031,-5.5132213,2.692569,2
56,-6.4660544,-1.4291347,-1.2864858,3
57,-11.636257,0.1721636,-9.753372,5
58,-15.540335,-7.231774,5.602827,2
59,-8.269732,2.59659,-1.5860152,7
60,-4.775781,7.277177,-5.602996,7
61,-12.728677,-3.6267016,0.6551023,2
62,-5.096442,3.6248405,9.646328,2
63,-12.415185,-5.0904818,10.005094,2
64,-9.728713,-3.1305401,-8.646065,5
65,-8.665869,-1.2495068,-4.8280272,5
66,-14.722104,-2.9320474,0.35200754,2
67,-16.09261,-5.36412,4.164966,2
68,-8.988123,0.94166934,-2.9863102,5
69,-14.372487,-5.964394,5.9887857,2
70,-6.707336,4.6517653,-3.2284887,7
71,-8.044425,-3.06286,-5.4667025,5
72,-8.595362,3.2137952,-0.17155354,7
73,-6.918557,-1.7726918,-0.1795677,3
74,-9.114357,6.150098,-5.4277163,7
75,-8.309526,-0.64926434,-6.6042194,5
76,-9.088597,-4.4399004,3.6246207,2
77,-14.302727,-6.3165364,5.421022,2
78,-11.574948,0.8312581,-5.764664,5
79,-7.9416814,3.8882935,-4.4697614,5
80,-3.388365,7.2626114,-2.6061232,7
81,-14.884187,-5.107183,3.6754258,2
82,-2.0504003,-11.377196,-7.978621,5
83,6.1707096,-3.038946,-8.691049,5
84,-16.686111,-5.90642,3.938542,2
85,-16.576372,-5.8050227,3.5837166,2
86,-13.185049,-2.6027021,1.1103647,2
87,-8.415229,1.6339875,-5.2838483,5
88,-11.952579,1.8248911,3.1457655,2
89,-9.570988,1.029807,-1.634139,2
90,-7.179645,4.559967,-4.280747,5
91,-0.70321625,0.14327979,-2.6465735,3
92,-7.0301857,7.067258,-4.2020116,7
93,-7.2374487,1.973576,-3.3292854,5
94,-10.146172,1.074535,7.438401,2
95,-8.586215,-1.1615634,-4.806732,5
96,-4.52338,0.4332627,-11.910313,5
97,-5.4495516,-1.2943419,-5.9741187,5
98,-15.469625,-5.127405,2.660156,2
99,-4.137776,3.1548028,8.387022,2
100,-9.80819,-4.0529675,1.679806,2
101,-8.2417965,-2.0711854,-0.40174365,2
102,-12.311968,-1.534156,5.106777,2
103,-2.6246185,-7.8474855,6.0812774,2
104,-8.678439,-3.142567,-8.505561,5
105,-16.837532,-6.4013534,3.0299413,2
106,1.48938,-20.091415,-4.079004,6
107,-7.644666,3.406227,-4.438065,5
108,-13.352104,-5.2015204,2.517524,2
109,-16.741745,-6.3778796,2.9576883,2
110,-13.922127,-3.9619827,1.192737,2
111,-3.7320325,1.4646406,-8.665042,5
112,-1.0448719,-6.5365424,0.875583,5
113,-11.112885,-0.5743171,5.485499,2
114,-10.775189,-3.800009,3.0712707,2
115,-8.167856,8.470532,-6.6477547,3
116,-10.695541,-0.5008872,0.46616542,2
117,-11.799472,-2.5099795,4.1913977,2
118,-15.661437,-5.1028576,3.0184155,2
119,-4.69814,-2.177937,-7.157465,5
120,-11.613951,-5.194324,3.323658,2
121,-12.65577,-2.7572408,2.5469456,2
122,-14.29185,-3.9829574,1.2181126,2
123,-10.259843,-0.23236963,-3.7717414,5
124,-12.462502,-2.5024915,5.63789,2
125,-13.33947,-4.8145547,4.964864,2
126,-15.577495,-4.2783875,4.8899517,2
127,-8.243024,5.723013,-4.272594,5
128,-10.183188,7.958584,-4.4708147,7
129,-1.9225755,5.473305,-1.6612574,7
130,-1.3844653,-1.7011456,-11.830991,3
131,-8.463844,-2.3511214,5.16818,2
132,-10.302953,-1.6180223,9.866961,2
133,-15.764118,-4.701602,5.0228405,2
134,-13.247219,-3.431724,-0.36561677,2
135,-11.602208,0.158988,-5.2228713,5
136,-11.413647,-4.9540615,3.3610957,2
137,-6.0987043,-1.7440145,-2.1796129,3
138,-9.724838,-3.8763933,1.1746855,2
139,-7.8350163,7.5813146,-5.130943,7
140,-2.8139148,-8.21701,-7.342023,5
141,5.5210342,-2.0134308,-9.14357,5
142,-10.721856,-2.7320926,-10.844245,5
143,-8.907605,-0.7046651,-2.8969955,5
144,-8.323863,4.8779984,-4.6072345,2
145,-10.790109,-5.930217,1.269053,2
146,-9.563471,-3.2539093,-8.408904,5
147,-10.26152,-2.7135212,-8.806653,5
148,-7.6668534,-2.0008557,5.190257,2
149,-13.653821,-5.0946383,6.012719,2
150,-14.800346,-4.5979114,4.4232426,2
151,-2.114865,4.2619205,-2.036349,3
152,-8.446005,-2.2567086,4.228672,2
153,-8.743912,4.7339077,-4.367226,2
