,date,title,intro,body,category
0,پنجشنبه ۳۰ دی ۱۴۰۰ - ۱۸:۰۶,کسب درآمد از تولید محتوا در اینستاگرام | قابلیت ویژه‌ای که به‌زودی اضافه می‌شود,در ماه ژوئن ۲۰۲۰، فیسبوک «اشتراک‌» را راه‌اندازی کرد تا به تولیدکنندگان محتوا کمک کند با حمایت جوامع‌شان درآمد کسب کنند. حالا این مدل کسب‌وکار به اینستاگرام نیز گسترش یافته است.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت جی‌اس‌ام آرنا، این شرکت قصد دارد با اشتراک‌های اینستاگرام به تولیدکنندگان در پلتفرم خود کمک کند «ارتباطات عمیق‌تری با متعهدترین فالوورهای خود ایجاد کنند و درآمد ماهیانه خود را از طریق دسترسی مشترکین به محتوا و مزایا انحصاری افزایش دهند» و پس از اینکه فالوورها مشترک شدند، آنها را دریافت می‌کنند. مزایای زندگی مشترک، داستان‌های مشترک و نشان‌های مشترک.
اشتراک اینستاگرام در ابتدا برای تعداد محدودی از تولیدکنندگان در ایالات متحده در دسترس خواهد بود. با این حال، اینستاگرام اعلام کرد که قصد دارد طی چند ماه آینده این ویژگی را برای سازندگان بیشتری گسترش دهد.
ویژگی اشتراک‌ها به تولیدکنندگان این امکان را می‌دهد تا قفل دکمه «اشتراک» را در پروفایل اینستاگرام خود باز کنند و قیمت ماهانه را به انتخاب خود تعیین کنند و اینستاگرام با استناد به تعهد خود برای حمایت از سازندگان پلتفرم اعلام کرد تا سال ۲۰۲۳ هیچ هزینه‌ای برای این اشتراک‌ها از تولیدکنندگان دریافت نخواهد کرد.
بیشتر بخوانید:

 پایان کار IGTV در اینستاگرام 

مشخص نیست چه زمانی اشتراک‌های اینستاگرام در سطح جهانی عرضه می‌شوند، اما اگر آزمایش در ایالات متحده بدون مشکل پیش برود، انتظار داریم که این ویژگی در چند ماه آینده به طور گسترده در دنیا آغاز شود.",['فناوری اطلاعات']
1,پنجشنبه ۳۰ دی ۱۴۰۰ - ۱۲:۳۸,مشخصات گالکسی A53 فاش شد,سرانجام مشخصات گوشی سامسونگ گالکسی A۵۳ ۵G که از اکتبر گذشته در مورد آن بسیار شنیده‌ایم فاش شد.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت جی‌اس‌ام آرنا، گالکسی A۵۳ ۵G با کد مدل ورزشی SM-A۵۳۶۰ از یک پردازنده ۸ هسته‌ای با حداکثر فرکانس ساعت ۲.۴ گیگاهرتز تغذیه می‌شود. متاسفانه نامی از چیپست آورده نشده است، اما حدس زده می‌شود که این گوشی از تراشه اگزینوس ۱۲۰۰ که دارای دو هسته با حداکثر فرکانس ۲.۴ گیگاهرتز و ۶ هسته باقی‌مانده روی فرکانس ۲ گیگاهرتز است، بهره ببرد.
این گوشی دارای ۸ گیگابایت رم داخلی است. البته می‌توانید انتظار داشته باشید که این گوشی هوشمند بسته به منطقه، گزینه‌های حافظه متفاوتی داشته باشد. همچنین این موضوع درباره چیپست‌ها نیز صدق می‌کند.
سامسونگ گالکسی A۵۳ ۵G یک صفحه نمایش ۶.۴۶ اینچی FullHD+ دارد. در مورد پنل هم اطلاعاتی به‌دست نیامده اما می‌توان گفت که صفحه نمایش AMOLED خواهد بود، زیرا این گوشی هوشمند دارای حسگر اثر انگشت زیر صفحه نمایش است.
گالکسی A۵۳ ۵G در مجموع با ۵ دوربین عرضه می‌شود. دو دوربین ۱۲ و ۵ مگاپیکسلی در جلو و ۳ دوربین ۶۴، ۳۲ و ۵ مگاپیکسلی در پشت. اما رندرها چیز دیگری می‌گویند؛ چرا که در جلو تنها یک دوربین مشاهده می‌شود.
احتمالا شاهد استفاده از دوربین سلفی از با یک سنسور ۳۲ مگاپیکسلی خواهیم بود، در حالی که دوربین اصلی ۶۴ مگاپیکسلی در پشت با واحدهای ۱۲ مگاپیکسلی فوق عریض، ماکرو ۵ مگاپیکسلی و عمق ۵ مگاپیکسلی همراه خواهد شد.
بیشتر بخوانید:

 گالکسی‌های M۳۳، A۳۳ و A۵۳ در راه هستند 

یک باتری با ظرفیت اسمی ۴۸۶۰ میلی‌آمپر ساعتی گوشی را روشن نگه می‌دارد. این گوشی  ۸.۱ میلی‌متر ضخامت و ۱۹۰ گرم وزن دارد و با دو گزینه ذخیره‌سازی ۱۲۸ و ۲۵۶ گیگابایتی ارائه می‌شود. اگرچه دارای یک اسلات کارت microSD برای افزایش فضای ذخیره سازی تا یک ترابایت نیز است.",['فناوری اطلاعات']
2,پنجشنبه ۳۰ دی ۱۴۰۰ - ۰۹:۰۷,آیفون SE+ 5G اواخر آوریل یا اوایل ماه مه عرضه می‌شود,راس یانگ، مدیرعامل «مشاوران زنجیره تولید صفحه نمایش» اطلاعات بیشتری در مورد آیفون اس‌ای پلاس ۵جی (iPhone SE+ 5G) دارد.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت جی‌اس‌ام آرنا، تولید پنل‌های نمایشگر برای مدل جدید از این ماه آغاز می‌شود و این به این معنی است که اپل می‌تواند +SE را در اواخر آوریل یا اوایل ماه مه رونمایی کند، ضمن اینکه قادر خواهد بود، ارسال سفارش‌ها را در همان دوره آغاز کند.
مدل جدید با توجه به تمام اطلاعاتی که تاکنون منتشر شده، از طراحی قدیمی استفاده خواهد کرد. در مورد اینکه آیا همچنان از همان ال‌سی‌دی ۴.۷ اینچی با دکمه Touch ID در جلو استفاده می‌شود، تردیدهایی وجود دارد. با این حال یک چیز واضح است؛ تمرکز این نسخه بر روی اتصال 5G خواهد بود.
مدل ۲۰۲۰ SE از چیپست اپل A۱۳ بهره می‌برد و دارای مودم 4G بود (همان پیکربندی سری آیفون ۱۲ از نیم سال قبل). مدل SE جدید چیپست و مودم جدیدتری دریافت خواهد کرد. شایعات چند ماه پیش ادعا می‌کردند که از همان تراشه اپل A۱۵ و مودم اسنپ‌دراگون ایکس۶۰ مانند سری آیفون ۱۳ استفاده خواهد کرد.
بیشتر بخوانید:

 آی‌پد ۱۰، اواخر امسال عرضه می‌شود | نسل دهم چه مشخصاتی دارد؟ 

آیفون SE+ 5G قرار است در کنار آی‌پد ایر جدید عرضه شود که احتمالا از همان چیپست A۱۵ قدرت می‌گیرد.",['فناوری اطلاعات']
3,چهارشنبه ۲۹ دی ۱۴۰۰ - ۱۹:۱۶,به‌روز رسانی بتلفید ۲۰۴۲ | سازندگان به‌دنبال روان‌تر کردن بازی هستند,شرکت دایس (DICE) چندین به‌روزرسانی و تغییرات کلیدی را برای بازی Battlefield 2042 که اخیراً به‌عنوان یکی از پرفروش‌ترین بازی‌های سال ۲۰۲۱ شناخته شده، معرفی کرده است.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت گیمزپات، به روز رسانی ۳.۲ در ۲۰ ژانویه (فردا) ارائه می‌شود و شامل تعدادی اصلاحات و بهبودهای کوچک با تمرکز بر بهبود پایداری کلی خواهد بود.
دایس می‌گوید: «به‌روزرسانی ۳.۳ در اواسط تا اواخر فوریه ارائه می‌شود. این ظاهرا یک به‌روزرسانی بزرگ‌تر است که شامل یک تابلوی امتیاز «به‌روزشده» خواهد بود؛ چیزی که طرفداران آن را درخواست کرده‌اند. همچنین شامل تغییرات بیشتر خواهد بود که از زمان بازگشت تیم از تعطیلات در حال انجام است.
تغییر تابلوی امتیاز بزرگ است. این رابط کاربری را تغییر می‌دهد تا شامل یک پنل جدید باشد که نشان می‌دهد بازیکنان چگونه در میانه ‌بازی در مقابل همه روی سرور رتبه‌بندی می‌کنند. در اینجا یک نگاه اولیه و غیر نهایی به جدول امتیازات جدید است:

دایس گفت که در آینده به این به‌روز رسانی جدول امتیازات ادامه خواهد داد: «این یک معامله تمام‌شده برای ما نیست، انتظار می‌رود که پس از پخش زنده در بازی، شاهد تکرار بیشتر در این مورد باشیم و ما مشتاقانه منتظر بازخورد شما پس از انتشار این تابلوی امتیاز جدید در ماه فوریه هستیم».
به طور کلی، دایس اعلام کرده که به دنبال بهبود عملکرد بازی «بتلفیلد ۲۰۴۲» است. تیم‌های آن به دنبال داده‌ها و بهینه‌سازی‌های اضافی هستند تا به اجرای روان‌تر این بازی کمک کنند.
دایس در پیامی اعلام کرد: «سال نو مبارک! ما اکنون که برگشتیم سخت مشغول کار هستیم. امیدواریم همه شما خوب، ایمن و سالم باشید.»
«بتلفیلد ۲۰۴۲» پنجمین بازی پرفروش سال ۲۰۲۱ در ایالات متحده بود، اگرچه EA عدد فروش خاصی را برای این تیرانداز نظامی آینده‌نگر اعلام نکرده است.
بازی بتلفیلد ۲۰۴۲ بخش داستانی ندارد. استودیو دایس برای ساخت این نسخه تصمیم گرفت حالت داستانی و کمپین را رها کرده و بر روی حالت چندنفره و محتوای آن متمرکز شود.",['فناوری اطلاعات']
4,چهارشنبه ۲۹ دی ۱۴۰۰ - ۱۷:۲۹,رونمایی از جدیدترین گوشی Tecno | بهره‌بردن از هوش مصنوعی در عکاسی,شرکت تکنو چین امروز جدیدترین گوشی سری پاپ خود، یعنی پرو۵ را در هند رونمایی کرد.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت جی‌اس‌ام آرنا، این گوشی دارای صفحه نمایش ۶.۵۲ اینچی +FHD، چیپست هلیو A۲۲ مدیاتک و باتری بزرگ ۶۰۰۰ میلی‌آمپر ساعتی است. پرو۵، اندروید ۱۱ (Go Edition) را با سیستم‌عامل Tecno's HiOS ۷.۶ در راه‌اندازی می‌کند.
یک دوربین اصلی ۸ مگاپیکسلی در پشت و در کنار کمک‌دوربین هوش مصنوعی و فلاش LED وجود دارد در حالی که دوربین سلفی ۵ مگاپیکسلی است. ظرفیت ۶۰۰۰ میلی آمپر ساعتی باتری این گوشی برای ۵۴ ساعت مکالمه و بیش از ۱۲۰ ساعت گوش دادن به موسیقی کافی است.
تکنو پاپ پرو۵ (Tecno Pop Pro 5)، دارای ۳ گیگابایت رم و ۳۲ گیگابایت حافظه داخلی بوده و در برابر پاشش آب مقاوم است.
بیشتر بخوانید:

 رونمایی از گوشی Y33T ویوو | قدرتمند، ارزان با دوربینی فوق‌العاده 

این گوشی در رنگ‌های آبی اقیانوس اطلس، آبی یخی و اقیانوسی عرضه می‌شود و قیمت آن تنها ۱۱۴ دلار است.",['فناوری اطلاعات']
5,چهارشنبه ۲۹ دی ۱۴۰۰ - ۰۹:۵۹,مشخصات نخستین تبلت ویوو فاش شد,پس از شایعات فراوان، معاون اجرایی ویوو (Vivo) پارسال تایید کرد که نخستین تبلت این برند در حال آماده شدن است و در نیمه اول سال ۲۰۲۲ به‌طور رسمی عرضه می‌شود.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت گیزموچاینا، با نزدیک شدن به جدول زمانی عرضه، جزئیات بیشتر در مورد اولین تبلت ویوو به صورت آنلاین منتشر شده است. در جدیدترین نمونه، برخی از ویژگی‌ها و مشخصات کلیدی این دستگاه مشخص شده است.
افشای اطلاعات جدید نشان می‌دهد که تبلت ویوو با پردازنده کوالکام اسنپ‌دراگون ۸۷۰ عرضه خواهد شد. این همان چیپست است که مدل ممتاز شیائومی پد ۵ پرو و ​​همچنین لنوو Xiaoxin پد پرو ۲۰۲۱ را تامین می‌کند.
صفحه نمایش این تبلت دارای یک صفحه نمایش +Full HD با حداقل حاشیه است که نرخ تازه‌سازی ۱۲۰ هرتز و یک سوراخ پانچ در بالای صفحه نمایش برای قرار دادن دوربین جلو ارائه می‌دهد. علاوه بر این، گفته می‌شود که انرژی مورد نیاز آن از یک باتری ۷۸۶۰ میلی‌آمپر ساعتی تامین می‌شود و از شارژ سریع ۴۴ واتی پشتیبانی می‌کند.
در مورد بخش نرم‌افزار، دستگاه احتمالا OriginOS خود شرکت را بر اساس سیستم‌عامل اندروید اجرا خواهد کرد. همچنین دارای ویژگی اتصال ترمینال است که می‌تواند صفحه و محتوا را در دستگاه های ویوو به اشتراک بگذارد.
بیشتر بخوانید:

 نخستین تبلت اوپو به بازار می‌آید | قدرتمند و هیجان‌انگیز 

سال گذشته، این شرکت علامت تجاری ""Vivo Pad"" را به ثبت رساند، اما هنوز تایید نشده است که آیا دستگاه به همین نام نام‌گذاری خواهد شد یا خیر. با توجه به اینکه این تبلت باید تا پایان ژوئن سال جاری به صورت رسمی معرفی شود، انتظار داریم در ماه‌های آینده اطلاعات بیشتری در مورد این محصول بدانیم.",['فناوری اطلاعات']
6,سه‌شنبه ۲۸ دی ۱۴۰۰ - ۲۳:۱۱,مایکروسافت، سازنده Call of Duty را خرید | بزرگ‌ترین معامله تاریخ بازی‌های ویدئویی برای ورود به متاورس,شرکت مایکروسافت در حال خرید شرکت سازنده بازی «ندای وظیفه»Call of Duty  یعنی اکتیویژن بلیزارد به قیمت ۶۸.۷ میلیارد دلار است تا بزرگ‌ترین معامله صنعت بازی در تاریخ جهان را رقم بزند.,"به گزارش همشهری آنلاین و به نقل از خبرگزاری رویترز، مایکروسافت، غول فناوری جهان قصد دارد طرح‌های بزرگ خود را در دنیای مجازی آینده مطرح و پیاده کند.
قراردادی که مایکروسافت اعلام کرد، به‌عنوان بزرگ‌ترین خرید تمام‌نقد تاریخ، قدرت شلیک این شرکت را در بازار پررونق بازی‌های ویدیویی، جایی که تنسنت و سونی در آن پیشتاز هستند را بالا می‌برد.
این موضوع همچنین نشان‌دهنده برنامه‌ریزی این شرکت چندملیتی آمریکایی بر روی دنیای مجازی آنلاین است که در آن افراد می‌توانند کار، بازی و معاشرت کنند؛ همانطور که بسیاری از بزرگ‌ترین رقبای مایکروسافت در حال انجام آن هستند.
ساتیا نادلا، مدیر اجرایی مایکروسافت، گفت: «بازی پویاترین و هیجان‌انگیزترین مقوله سرگرمی در تمامی پلتفرم‌های امروزی است و نقش کلیدی در توسعه پلتفرم‌های متاورس خواهد داشت.»
آندره بارلو از شرکت حقوقی Doyle, Barlow & Mazard می‌گوید: «مایکروسافت تاکنون از مدل دقیق گوگل و فیسبوک اجتناب کرده است، اما این معامله که آن را به سومین شرکت بزرگ بازی در جهان تبدیل می‌کند، سازنده ایکس‌باکس را در رادار قانونگذاران قرار خواهد داد.»",['فناوری اطلاعات']
7,سه‌شنبه ۲۸ دی ۱۴۰۰ - ۲۱:۳۴,اپل صدر جدول را از سامسونگ پس گرفت,اپل در سه ماهه چهارم سال گذشته میلادی با فروش بیشترین گوشی هوشمند دوباره در صدر جدول فروش قرار گرفت.,"به گزارش همشهری آنلاین و به نقل از وب‌سایت جی‌اس‌ام آرنا، همه اینها به لطف عملکرد قوی سری آیفون ۱۳ است. در واقع، تحلیلگران Canalys فروش آیفون در چین را بی‌سابقه نامیدند. زنجیره تامین اپل در حال بهبود است، اما هنوز نتوانسته آیفون کافی برای پاسخگویی به تقاضا تولید کند؛ بنابراین مجبور شد برخی بازارها را بر بازارهای دیگر اولویت دهد.
این شرکت مستقر در کوپرتینو تنها شرکتی نیست که در عرضه مشکل دارد. سازندگان بزرگ سال‌ها طول می‌کشد تا ظرفیت تولید تراشه خود را افزایش دهند. به همین دلیل است که سازندگان گوشی‌های هوشمند به طور فزاینده‌ای مجبور شده‌اند به دنبال تامین‌کننده‌های جدید و متعادل کردن خط تولید خود برای تمرکز بر مدل‌های پرفروش باشند.
سامسونگ که رتبه اول را در سه ماهه اول، دوم و سوم در اختیار داشت، به رتبه دوم سقوط کرد، اما نسبت به سه ماهه پایانی سال ۲۰۲۰ به اپل نزدیک‌تر است. این یک چرخه طبیعی برای اپل محسوب می‌شود. آیفون‌های جدید در سپتامبر یا نوامبر عرضه می‌شوند و منجر به افزایش فروش می‌شود.
با این حال، در سه ماهه چهارم ۲۰۲۰، اپل و سامسونگ به ترتیب ۲۳ درصد و ۱۷ درصد از بازار را در اختیار داشتند، در سه ماهه چهارم ۲۰۲۱ این اعداد ۲۲ درصد و ۲۰ درصد بودند. شیائومی، اوپو و ویوو نسبت به سال قبل تغیییری در درصد فروش نداشته‌اند.
مشکلات زنجیره تامین مانع رشد بازار شد؛ بنابراین محموله‌ها برای سه ماهه چهارم سال گذشته تنها یک درصد بیشتر از مدت مشابه در سال ۲۰۲۰ بود. تحلیلگران پیش‌بینی می‌کنند که کمبود قطعات تنها در نیمه دوم سال جاری کاهش می‌یابد.

تسلط بر بازار در سه ماهه چهارم سال ۲۰۲۲
اپل: ۲۳ درصد
سامسونگ: ۱۷ درصد
شیائومی: ۱۲ درصد
اوپوو: ۱۰ درصد
ویوو: ۹ درصد",['فناوری اطلاعات']
8,سه‌شنبه ۲۸ دی ۱۴۰۰ - ۱۹:۰۳,آی‌پد ۱۰، اواخر امسال عرضه می‌شود | نسل دهم چه مشخصاتی دارد؟,نسل دهم آی‌پد اپل اواخر سال ۲۰۲۲ عرضه می‌شود و از همان طراحی قدیمی نسل قبلی خود بار دیگر استفاده خواهد کرد.,"به گزارش همشهری آنلاین و به نقل از گیزموچاینا، اطلاعاتی که در توئیتر منتشر شده، برخی از مشخصات کلیدی دستگاه را فاش کرده است.
این دستگاه دارای ۵G، بلوتوث ۵.۰، وای‌فای۶ و پردازنده A۱۴ خواهد بود. طراحی بدون تغییر باقی می‌ماند و اپل فقط در سال ۲۰۲۳ ظاهری تازه ارائه می‌کند. این بدان معناست که یک صفحه نمایش ۱۰.۲ اینچی دوباره وجود خواهد داشت؛ احتمالاً همان پنل با وضوح ۲۱۶۰×۱۶۲۰ که اپل به عنوان صفحه نمایش رتینا به بازار عرضه می‌کند.
همچنین استفاده از پورت لایتنینگ قابل اعتماد، بدون تغییر است؛ به این معنی که باتری نسل دهم آی‌پد به احتمال زیاد با همان سرعت مدل فعلی پر می‌شود.
استفاده از A۱۴ Bionic باعث می‌شود که نسل دهم آی‌پد عملکرد نسبتا بهبود یافته‌ای نسبت به آی‌پد۹ ارائه دهد یا به عبارت دقیق‌تر، تا ۲۰ درصد. این تراشه مبتنی بر فرآیند ۵ نانومتری بوده و دارای ۱۱.۸ میلیارد ترانزیستور است که تقریبا ۴۰ درصد بیشتر از A۱۳ به‌حساب می‌آید.
بیشتر بخوانید:

 نسل پنجم آی‌پد ایر بهار امسال معرفی خواهد شد 

بدون تغییر بودن طرح‌های اپل برای یک سال دیگر به این معنی است که از نسل هفتم آی‌پد که در سال ۲۰۱۹ رونمایی شد، تغییرات کمی در بخش ظاهر ایجاد شده است.",['فناوری اطلاعات']
9,سه‌شنبه ۲۸ دی ۱۴۰۰ - ۱۸:۴۱,مسابقه بزرگ CodeCup هواوی برای برنامه نویسان اندرویدی,هر سال در سراسر دنیا شرکت های بزرگ مسابقاتی را برای برنامه نویسان برگزار می‌کنند تا بتوانند استعداد های درخشان را پیدا کرده و از نبوغ و تونایی آنها برای ارائه ایده‌های نو و سرویس‌های بهینه‌تر بهره ببرند.,"تا به امروز هیچ یک از این شرکت ها به صورت رسمی در ایران مسابقه ای برگزار نکرده بود، اما شرکت هواوی به تازگی تصمیم گرفته است مسابقه ای جذاب برای برنامه‌نویس‌ها یا دولپرهای اندروید ایرانی راه اندازی کند. در این مسابقه شرکت‌های مطرح ایرانی ازجمله کافه بازار، تپسل و مرکز نوآوری مانا نیز با هواوی همکاری می‌کنند. اما هدف این مسابقه چیست؟ هواوی مدتی است که توسط آمریکا تحریم و با محدودیت‌هایی در تولید سخت افزار و استفاده از سرویس‌های گوگل مواجه شده است. این شرکت از آن زمان تصمیم گرفت سیستم ابری مختص خود را راه‌اندازی کرده و گسترش دهد و از آن برای محصولاتش استفاده کند. اکنون این سیستم که آن را به عنوان Huawei Mobile Services یا HMS میشناسند، با استقبال بسیار خوبی در دنیا مواجه شده در در زمان تولید این خبر بیش از ۱۴۰ میلیون کاربر فعال دارد. در همین راستا برنامه‌نویس‌های زیادی برای توسعه محصولاتشان از HMS هواوی استفاده می‌کنند. یکی از دلایل محبوبیت این سیستم ابری کیت‌های هواوی است که با استفاده از آنها می‌توان قابلیت‌های خلاقانه‌ای به اپلیکیشن‌ها اضافه کرد.  چالشی که هواوی در این مسابقه برای برنامه‌نویس‌های اندروید تعریف کرده این است که اپلیکیشن خود را با هواوی موبایل سرویس یکپارچه یا اینتگریت کنند. در پایان به نفراتی که در این کار خلاقیت بالاتری به خرج داده باشند جوایز متنوع و نفیسی از طرف هواوی و دیگر شرکای حاضر در این مسابقه اهدا خواهد شد.
 

  مرکز نوآوری مانا که یک فضای کار اشتراکی هم محسوب می‌شود، به تیم های برنده یک ماه فضای اشتراکی رایگان جایزه خواهد داد. به علاوه اگر اپلیکیشنی از نظر کسب و کار برای این مرکز جذاب باشد روی آن سرمایه گذاری صورت خواهد گرفت.  

  تپسل بزرگترین پلتفرم تبلیغاتی ایرانی نیز به تیم های برنده به ترتیب ۲۰۰۰ ، ۱۰۰۰ و ۵۰۰ عدد نصب رایگان هدیه می‌دهد و اگر این افراد توسعه دهنده تبلیغات تپسل شوند ۵۰ درصد دیگر هم به این عدد اضافه خواهد شد.  

کافه بازار هم مثل همیشه در این رویداد هامی اپلیکیشن ها است و در کنار دیگر شرکا به رشد دانش برنامه‌نویس‌های ایرانی کمک می‌کند. جوایز هواوی هم شامل لپ تاپ، تلفن همراه و مانیتور هواوی می‌شود که همگی از جمله جدیدترین محصولات این شرکت هستند. اگر شما هم جزو برنامه‌نویس‌ها یا دولوپرهای اندروید هستید و دوست دارید در این چالش شرکت کنید کافیست اینجا کلیک کنید و مهارت خود را محک بزنید.","['بازار', 'داخلی']"
